 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  24   6     0.05  -0.11  -0.03     0.07   0.01   0.14     0.14  -0.12  -0.06
  25   6     0.07  -0.14  -0.05     0.09  -0.02   0.06     0.03   0.01   0.02
  26   6     0.07  -0.14  -0.06     0.08  -0.02   0.02    -0.01   0.06   0.05
  27   6     0.04  -0.10  -0.03     0.05  -0.02   0.01    -0.00   0.05   0.04
  28   6     0.02  -0.09  -0.03     0.04  -0.02  -0.01    -0.01   0.06   0.05
  29   6     0.04  -0.10  -0.04     0.04   0.00  -0.04    -0.02   0.08   0.06
  30   6     0.00  -0.06  -0.02    -0.01   0.03  -0.05     0.01   0.03   0.04
  31   6    -0.05   0.00   0.02    -0.06   0.05  -0.03     0.06  -0.03  -0.00
  32   6    -0.09   0.06   0.05    -0.12   0.10  -0.03     0.12  -0.11  -0.05
  33   6    -0.09   0.00   0.12    -0.15   0.08   0.01     0.15  -0.04  -0.14
  34   6    -0.09   0.10  -0.03    -0.11   0.17  -0.09     0.10  -0.18   0.03
  35   6    -0.15   0.12   0.09    -0.19   0.12   0.00     0.18  -0.19  -0.10
  36   6    -0.06   0.01   0.03    -0.05   0.01  -0.01     0.05  -0.02   0.00
  37   6    -0.02  -0.04   0.01    -0.01  -0.02  -0.00     0.01   0.03   0.03
  38   6    -0.02  -0.03   0.03    -0.00  -0.05   0.02    -0.00   0.01   0.04
  39   6    -0.01  -0.01   0.03     0.00  -0.04   0.02    -0.01  -0.00   0.04
  40   6    -0.01   0.03   0.04     0.01  -0.00  -0.00    -0.02  -0.00   0.04
  41   6    -0.02   0.05   0.06    -0.01  -0.00  -0.00    -0.04   0.00   0.05
  42   6    -0.02   0.05   0.07    -0.01   0.00  -0.01    -0.05   0.01   0.04
  43   6    -0.01   0.04   0.05    -0.00   0.01  -0.01    -0.04   0.02   0.03
  44   6    -0.00   0.02   0.04    -0.00   0.01  -0.03    -0.04   0.03   0.00
  45   6    -0.02   0.01   0.03    -0.01  -0.00  -0.04    -0.07   0.03  -0.00
  46   6    -0.04   0.01   0.04    -0.02  -0.02  -0.03    -0.10   0.03  -0.00
  47   6    -0.05  -0.01   0.03    -0.02  -0.03  -0.04    -0.14   0.04  -0.01
  48   6    -0.04  -0.01   0.01    -0.01  -0.04  -0.05    -0.15   0.04  -0.03
  49   7    -0.01  -0.00   0.00     0.01  -0.03  -0.07    -0.13   0.04  -0.03
  50   6    -0.00   0.01   0.01     0.01  -0.01  -0.05    -0.09   0.04  -0.02
  51   6     0.03   0.04   0.03    -0.01   0.02  -0.04    -0.03   0.03   0.01
  52   6     0.04   0.05   0.05     0.01   0.05  -0.07    -0.01   0.05   0.01
  53   6     0.08   0.07   0.04     0.00   0.06  -0.07     0.00   0.05   0.01
  54   6     0.09   0.07   0.06     0.03   0.09  -0.11     0.02   0.07   0.01
  55   6     0.13   0.09   0.05     0.03   0.11  -0.12     0.05   0.09  -0.01
  56   6     0.06   0.05   0.05     0.08   0.07  -0.12     0.01   0.05  -0.01
  57   6     0.08   0.08   0.12     0.01   0.13  -0.12     0.01   0.09   0.04
  58   6     0.11   0.08   0.01    -0.03   0.03  -0.04     0.00   0.04   0.01
  59   6     0.11   0.07  -0.01    -0.05   0.00  -0.01    -0.01   0.02   0.01
  60   6     0.07   0.05   0.00    -0.04   0.00  -0.01    -0.03   0.02   0.01
  61   6     0.04   0.04  -0.01    -0.05  -0.01   0.01    -0.04   0.00   0.00
  62   6     0.06   0.04  -0.03    -0.08  -0.04   0.05    -0.06  -0.03   0.01
  63   6     0.03   0.02  -0.03    -0.07  -0.04   0.05    -0.08  -0.05   0.01
  64   6    -0.02  -0.01  -0.00    -0.02  -0.00   0.02    -0.08  -0.02  -0.00
  65   6    -0.07  -0.05   0.01     0.01   0.03   0.01    -0.10  -0.04  -0.01
