 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 103   1    -0.01   0.02  -0.05     0.01  -0.02   0.04    -0.06  -0.01   0.01
 104   1    -0.00   0.01  -0.03     0.01  -0.02   0.03    -0.04   0.00   0.01
 105   1    -0.00   0.01  -0.01     0.01  -0.01   0.02    -0.03   0.00   0.01
 106   1     0.00  -0.00  -0.00     0.01  -0.01   0.02    -0.02   0.01   0.01
 107   1     0.00  -0.00   0.01     0.00  -0.01   0.01    -0.01   0.01   0.01
 108   1    -0.01   0.00   0.02    -0.02  -0.01  -0.01    -0.01  -0.00  -0.01
 109   1    -0.01   0.00   0.04    -0.02  -0.01  -0.00     0.00   0.01   0.00
 110   1     0.00  -0.02   0.05    -0.00  -0.01   0.01     0.04   0.01   0.01
 111   1     0.00  -0.02   0.06    -0.00  -0.01   0.02     0.04   0.02   0.03
 112   1     0.01  -0.02   0.05     0.01  -0.01   0.02     0.04   0.02   0.02
 113   1    -0.01  -0.01   0.05    -0.01  -0.02   0.03     0.00   0.02   0.03
 114   1     0.00  -0.01   0.05    -0.00  -0.02   0.03     0.02   0.03   0.03
 115   1    -0.00  -0.01   0.06    -0.01  -0.02   0.03     0.02   0.03   0.04
 116   1    -0.01   0.00   0.05    -0.03  -0.02   0.01     0.01   0.02   0.02
 117   1    -0.01  -0.01   0.06    -0.02  -0.02   0.02     0.02   0.02   0.03
 118   1    -0.01  -0.00   0.05    -0.02  -0.01   0.01     0.02   0.01   0.01
 119   1     0.01  -0.02   0.04     0.01  -0.01   0.02     0.02   0.02   0.02
 120   1     0.01  -0.01   0.02     0.01  -0.00   0.01     0.01   0.01   0.01
 121   1     0.00   0.01  -0.04    -0.00   0.02  -0.05     0.00  -0.02  -0.03
 122   1     0.00   0.00  -0.04     0.01   0.01  -0.03    -0.01  -0.02  -0.03
 123   1     0.00  -0.00  -0.03     0.01   0.01  -0.02    -0.01  -0.01  -0.02
 124   1     0.01  -0.01  -0.01     0.02   0.00   0.02     0.01   0.01   0.01
 125   1     0.01  -0.01  -0.01     0.03  -0.01   0.04     0.01   0.02   0.03
 126   1     0.01  -0.00  -0.03     0.02  -0.01   0.03    -0.02   0.01   0.02
 127   1     0.01  -0.01  -0.03     0.04  -0.01   0.05    -0.02   0.02   0.04
 128   1     0.01  -0.01  -0.03     0.04  -0.00   0.03    -0.01   0.01   0.03
 129   1     0.01  -0.02  -0.01     0.05  -0.01   0.05     0.01   0.02   0.04
 130   1     0.01  -0.02  -0.01     0.04  -0.02   0.07    -0.00   0.03   0.05
 131   1     0.01  -0.01  -0.01     0.03  -0.02   0.06     0.00   0.02   0.05
 132   1    -0.00  -0.00  -0.01    -0.00  -0.02   0.06    -0.02   0.02   0.05
 133   1    -0.00   0.00  -0.02    -0.00  -0.01   0.05    -0.03   0.01   0.04
 134   1     0.00  -0.00  -0.02     0.01  -0.02   0.07    -0.03   0.02   0.05
 135   1    -0.00   0.00  -0.03     0.00  -0.00   0.02    -0.03   0.00   0.02
 136   1    -0.00   0.01  -0.02    -0.01   0.00   0.00    -0.02  -0.00  -0.00
 137   1    -0.00  -0.01   0.03    -0.01   0.00   0.00     0.03   0.01   0.01
 138   1    -0.00  -0.01   0.05    -0.02  -0.00  -0.00     0.05   0.01   0.01
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    15.8611                18.5594                19.2402
 Red. masses --    10.5176                10.3765                10.4053
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.0232                 0.0739                 0.0910
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.16   0.10   0.08    -0.19  -0.05   0.01     0.20   0.01   0.04
   2   6     0.11   0.03   0.07    -0.09  -0.02  -0.01     0.11  -0.05   0.05
   3   6     0.12  -0.04   0.13    -0.08   0.02  -0.11     0.11  -0.12   0.13
   4   6     0.11   0.02   0.08    -0.05  -0.04   0.05     0.09  -0.04   0.02
   5   6     0.06   0.02   0.01    -0.05  -0.02   0.01     0.05  -0.06  -0.00
   6   6     0.05   0.02  -0.02    -0.06  -0.01  -0.02     0.04  -0.07  -0.00
   7   6     0.01   0.02  -0.06    -0.03  -0.01  -0.02    -0.00  -0.07  -0.02
   8   6    -0.00   0.01  -0.08     0.01  -0.02   0.01    -0.03  -0.06  -0.05
   9   6    -0.02   0.01  -0.11     0.02  -0.02   0.00    -0.05  -0.06  -0.05
  10   6    -0.02   0.01  -0.12     0.02  -0.02   0.02    -0.05  -0.06  -0.05
