 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 118   1    -0.00   0.01  -0.02     0.02  -0.02  -0.02    -0.01   0.01   0.01
 119   1    -0.00   0.01  -0.04     0.04  -0.01  -0.01    -0.02  -0.00   0.02
 120   1     0.00  -0.01  -0.07     0.05   0.02  -0.00    -0.04  -0.02   0.04
 121   1     0.00  -0.02  -0.06     0.04   0.01  -0.01    -0.03  -0.00   0.03
 122   1     0.00  -0.01  -0.05     0.03   0.02   0.00    -0.03  -0.02   0.03
 123   1    -0.01   0.02  -0.07     0.05   0.03   0.00    -0.03  -0.04   0.04
 124   1    -0.01   0.03  -0.05     0.05   0.02  -0.00    -0.01  -0.04   0.02
 125   1    -0.01   0.01  -0.05     0.04   0.03   0.01    -0.01  -0.04   0.02
 126   1    -0.01   0.01  -0.07     0.06   0.01  -0.01    -0.04  -0.02   0.04
 127   1    -0.00   0.00  -0.06     0.05  -0.00  -0.02    -0.03  -0.00   0.03
 128   1    -0.01   0.02  -0.06     0.06   0.01  -0.01    -0.03  -0.02   0.03
 129   1    -0.00  -0.00  -0.03     0.02   0.02   0.01    -0.01  -0.02   0.01
 130   1     0.00  -0.01  -0.01    -0.00   0.02   0.02     0.01  -0.01  -0.01
 131   1     0.00  -0.04   0.01    -0.05   0.02   0.03     0.04  -0.01  -0.03
 132   1     0.00  -0.03   0.03    -0.05   0.02   0.02     0.04  -0.01  -0.02
 133   1     0.00  -0.04   0.03    -0.05   0.03   0.04     0.04  -0.01  -0.04
 134   1     0.00  -0.03  -0.00    -0.02   0.03   0.04     0.03  -0.01  -0.04
 135   1     0.00  -0.01   0.00    -0.01   0.03   0.04     0.01  -0.02  -0.04
 136   1     0.00  -0.02   0.01    -0.03   0.04   0.05     0.02  -0.02  -0.05
 137   1     0.00  -0.01   0.03    -0.03   0.03   0.04     0.02  -0.02  -0.04
 138   1     0.00  -0.00   0.02    -0.01   0.03   0.03     0.00  -0.01  -0.03
 139   1     0.00  -0.01   0.04    -0.03   0.02   0.03     0.02  -0.01  -0.02
 140   1     0.00  -0.02   0.03    -0.04   0.01   0.01     0.03  -0.00  -0.01
 141   1     0.00  -0.01   0.02    -0.02  -0.01  -0.01     0.02   0.00  -0.00
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    17.8530                24.2004                28.6696
 Red. masses --    10.4395                10.7517                 9.5035
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.1458                 0.1532                 0.4005
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.08   0.03  -0.05    -0.09  -0.05   0.06     0.04  -0.03   0.18
   2   6    -0.08   0.04  -0.10    -0.07  -0.04   0.07     0.00   0.01  -0.03
   3   6     0.02   0.10  -0.19    -0.10  -0.05   0.10     0.20   0.02  -0.24
   4   6    -0.20   0.04  -0.16    -0.03  -0.01   0.09    -0.26   0.09  -0.13
   5   6    -0.05   0.02  -0.02    -0.06  -0.04   0.02     0.02  -0.00   0.04
   6   6    -0.04  -0.00   0.06    -0.06  -0.06   0.00     0.03  -0.01   0.09
   7   6    -0.02  -0.02   0.11    -0.04  -0.07  -0.02     0.03  -0.02   0.10
   8   6    -0.02  -0.01   0.09    -0.03  -0.06  -0.02     0.03  -0.01   0.07
   9   6    -0.03   0.01   0.02    -0.03  -0.04  -0.01     0.02  -0.00   0.04
  10   6    -0.05   0.03  -0.03    -0.04  -0.03   0.01     0.01   0.00   0.01
  11   6    -0.03   0.01   0.01    -0.01  -0.03  -0.02     0.02   0.00   0.02
  12   6    -0.04   0.03  -0.04    -0.00  -0.01  -0.04     0.01   0.01  -0.01
  13   6    -0.03   0.03  -0.05     0.02  -0.00  -0.05     0.01   0.01  -0.03
  14   6    -0.04   0.05  -0.11     0.02   0.02  -0.08    -0.00   0.02  -0.07
  15   6     0.02   0.05  -0.12     0.08   0.03  -0.09     0.04   0.02  -0.07
  16   6    -0.09   0.05  -0.11    -0.00   0.02  -0.08    -0.04   0.02  -0.06
  17   6    -0.05   0.07  -0.16     0.00   0.05  -0.13    -0.01   0.02  -0.11
  18   6    -0.02   0.02   0.00     0.03  -0.03  -0.02     0.01   0.01  -0.00
  19   6    -0.01  -0.00   0.06     0.03  -0.05  -0.01     0.02  -0.00   0.03
  20   6    -0.01  -0.00   0.06     0.01  -0.05  -0.01     0.02  -0.00   0.04
  21   7    -0.01  -0.02   0.12    -0.01  -0.07  -0.02     0.03  -0.01   0.07
  22   6    -0.00  -0.02   0.11    -0.00  -0.07  -0.02     0.01  -0.01   0.03
  23   6     0.00  -0.04   0.10     0.00  -0.05   0.00    -0.01  -0.01   0.02
  24   7     0.01  -0.05   0.09     0.01  -0.01   0.03    -0.03  -0.02   0.05
  25   6     0.02  -0.04   0.06    -0.02   0.04   0.01    -0.04  -0.02   0.07
  26   6     0.02  -0.05   0.07    -0.09   0.05   0.01    -0.06  -0.03   0.10
  27   6     0.03  -0.05   0.04    -0.11   0.11  -0.00    -0.07  -0.02   0.13
  28   6     0.04  -0.04   0.00    -0.07   0.16  -0.01    -0.07  -0.02   0.15
  29   6     0.04  -0.04  -0.01    -0.01   0.16  -0.00    -0.05  -0.01   0.11
  30   6     0.02  -0.04   0.02     0.02   0.10   0.01    -0.03  -0.01   0.08
  31   6     0.02  -0.04   0.01     0.07   0.08   0.02    -0.01  -0.01   0.04
  32   6     0.03  -0.03  -0.03     0.13   0.11   0.03     0.00   0.00   0.02
  33   6     0.02  -0.03  -0.02     0.18   0.08   0.04     0.02   0.01  -0.02
  34   6     0.01  -0.03   0.02     0.17   0.01   0.06     0.02   0.00  -0.03
  35   6     0.00  -0.04   0.06     0.11  -0.02   0.06     0.01  -0.01  -0.01
  36   6     0.01  -0.04   0.05     0.07   0.01   0.03    -0.01  -0.01   0.02
  37   6     0.00  -0.04   0.09     0.00  -0.05   0.01    -0.03  -0.01  -0.01
  38   6    -0.00  -0.04   0.10     0.00  -0.05   0.01    -0.01   0.00  -0.03
  39   7    -0.00  -0.05   0.08    -0.00  -0.02   0.04    -0.03   0.02  -0.05
  40   6     0.00  -0.05   0.05    -0.06   0.00   0.05    -0.02   0.01  -0.03
  41   6     0.02  -0.04   0.06    -0.10  -0.04   0.07    -0.02   0.00  -0.01
  42   6     0.02  -0.04   0.02    -0.16  -0.00   0.08    -0.02   0.00   0.01
  43   6     0.01  -0.04  -0.03    -0.17   0.07   0.05    -0.02   0.01   0.01
  44   6    -0.01  -0.05  -0.03    -0.13   0.10   0.03    -0.02   0.01  -0.01
  45   6    -0.01  -0.05   0.01    -0.07   0.07   0.03    -0.02   0.02  -0.03
  46   6    -0.02  -0.05   0.01    -0.02   0.10   0.02    -0.03   0.03  -0.06
  47   6    -0.04  -0.06  -0.03     0.00   0.16   0.00    -0.03   0.03  -0.07
  48   6    -0.05  -0.06  -0.02     0.07   0.16  -0.00    -0.03   0.04  -0.09
  49   6    -0.05  -0.06   0.02     0.11   0.10   0.01    -0.03   0.04  -0.10
  50   6    -0.04  -0.06   0.06     0.09   0.04   0.02    -0.02   0.03  -0.08
  51   6    -0.02  -0.05   0.05     0.02   0.04   0.02    -0.02   0.02  -0.06
  52   6    -0.00  -0.03   0.11     0.00  -0.07  -0.01     0.01   0.00  -0.04
  53   7     0.00  -0.02   0.12     0.00  -0.07  -0.01     0.03   0.01  -0.07
  54   6     0.02  -0.01   0.09     0.02  -0.06  -0.01     0.03   0.01  -0.07
  55   6     0.02  -0.02   0.11     0.04  -0.07  -0.00     0.03   0.02  -0.10
  56   6     0.04  -0.00   0.05     0.06  -0.07   0.02     0.03   0.01  -0.09
  57   6     0.05   0.03  -0.02     0.06  -0.05   0.03     0.02  -0.00  -0.04
  58   6     0.08   0.06  -0.11     0.07  -0.05   0.07     0.01  -0.02   0.02
  59   6     0.20   0.06  -0.17     0.06  -0.01   0.09    -0.24  -0.10   0.12
  60   6    -0.02   0.12  -0.19     0.08  -0.06   0.07     0.21  -0.03   0.22
  61   6     0.07   0.04  -0.06     0.09  -0.07   0.08     0.05   0.04  -0.18
  62   6     0.05   0.04  -0.03     0.04  -0.03   0.01     0.01  -0.01  -0.01
  63   6     0.03   0.01   0.02     0.02  -0.04  -0.01     0.02  -0.00  -0.04
  64   6     0.03   0.02   0.02     0.01  -0.03  -0.02     0.02  -0.01  -0.02
  65   6     0.03   0.04  -0.04     0.00  -0.00  -0.05     0.01  -0.01   0.01
  66   6     0.03   0.04  -0.04    -0.02   0.00  -0.06     0.00  -0.02   0.02
  67   6     0.03   0.06  -0.10    -0.02   0.04  -0.10    -0.00  -0.02   0.06
  68   6     0.09   0.06  -0.10     0.02   0.02  -0.09    -0.05  -0.01   0.05
  69   6     0.05   0.08  -0.15     0.00   0.07  -0.16    -0.01  -0.03   0.11
  70   6    -0.03   0.07  -0.11    -0.10   0.05  -0.10     0.04  -0.03   0.06
  71   6     0.02   0.02   0.01    -0.03  -0.03  -0.03     0.01  -0.01  -0.01
